Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production,,,,,,
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;;Appart 3P;7,7;9,2;10,7;11,8;13,1;10,4;500;635;725;817;935;729;70;748;4360;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;;Appart 4P+;6,8;8,2;9,2;10,7;11,8;9,3;650;735;837;960;1141;878;95;402;2722;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;1. Moins de 1 an;;8,5;10,0;12,1;14,8;16,7;11,6;570;630;730;828;1057;770;66;590;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;1. Moins de 1 an;Appart 1P;13,6;15,0;17,7;19,7;24,8;17,4;390;450;495;544;579;492;28;98;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;1. Moins de 1 an;Appart 2P;11,1;13,5;15,1;16,7;17,9;14,3;555;590;673;700;750;654;46;209;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;1. Moins de 1 an;Appart 3P;10,0;10,4;11,8;13,0;14,0;11,7;603;700;780;869;970;798;68;187;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;1. Moins de 1 an;Appart 4P+;7,5;8,5;9,9;10,8;11,6;9,7;690;750;823;1100;1312;933;97;96;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;2. 1 an et plus;;7,4;8,8;10,6;12,5;14,4;10,3;457;566;700;807;954;706;69;1496;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;2. 1 an et plus;Appart 1P;9,8;11,5;14,3;18,7;22,7;14,6;287;350;456;500;546;428;29;194;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;2. 1 an et plus;Appart 2P;8,7;10,0;12,5;14,2;16,3;12,1;437;528;620;679;750;604;50;435;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;2. 1 an et plus;Appart 3P;7,6;8,9;10,4;11,6;13,0;10,1;500;600;700;800;935;717;71;561;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;;2. 1 an et plus;Appart 4P+;6,8;8,0;8,9;10,6;11,8;9,1;650;720;837;950;1100;861;94;306;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;1. Avant 1946;;;6,2;8,1;10,0;12,7;14,6;9,8;342;513;650;797;918;657;67;312;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;1. Avant 1946;;Appart 1P;;;;;;;;;;;;;;40;;Estimation directe,,,,,,
B2A00;2020;Agglomération d'Ajaccio;;Appartement;1. Avant 1946;;Appart 2P;8,6;10,0;12,5;13,4;15,8;11,8;301;420;630;682;800;589;50;115;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;1. Avant 1946;;Appart 3P;5,7;8,6;9,4;11,3;14,0;9,6;342;600;692;750;900;662;69;99;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;1. Avant 1946;;Appart 4P+;6,2;6,8;8,0;10,1;11,3;8,4;680;743;800;999;1318;905;107;58;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;1. Avant 1946;1. Moins de 1 an;;6,2;10,0;12,5;14,0;16,6;10,6;496;660;700;800;950;749;71;80;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;1. Avant 1946;2. 1 an et plus;;5,7;8,0;9,8;11,6;14,0;9,6;301;456;650;759;900;635;66;232;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;2. Entre 1946-1970;;;8,2;8,9;10,5;11,7;13,6;10,3;500;600;700;800;950;711;69;572;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;2. Entre 1946-1970;;Appart 1P;11,5;11,5;14,7;19,3;26,2;15,8;345;345;443;532;591;455;29;75;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;2. Entre 1946-1970;;Appart 2P;8,6;9,8;12,5;13,9;14,4;11,7;450;490;590;671;725;585;50;127;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;2. Entre 1946-1970;;Appart 3P;7,7;9,4;10,7;11,6;12,1;10,4;500;600;668;780;872;696;67;224;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;2. Entre 1946-1970;;Appart 4P+;7,3;8,5;9,3;10,6;11,7;9,5;650;700;800;948;1039;840;88;146;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;2. Entre 1946-1970;1. Moins de 1 an;;8,4;9,8;10,6;12,2;14,3;10,7;532;600;690;801;1042;747;70;133;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;2. Entre 1946-1970;2. 1 an et plus;;7,7;8,9;10,5;11,7;13,3;10,2;497;575;700;800;950;704;69;439;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;3. Entre 1971-1990;;;7,1;8,8;10,1;12,5;16,0;10,0;454;580;713;850;960;724;72;574;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;3. Entre 1971-1990;;Appart 1P;11,1;11,8;15,0;18,3;20,7;14,6;350;376;463;500;520;449;31;87;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;3. Entre 1971-1990;;Appart 2P;8,3;11,0;14,2;16,3;17,6;13,3;490;560;616;652;700;598;45;162;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;3. Entre 1971-1990;;Appart 3P;8,0;8,9;9,8;11,4;12,4;9,8;492;650;754;800;935;747;76;203;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;3. Entre 1971-1990;;Appart 4P+;5,9;8,1;8,9;10,5;11,2;8,9;582;737;855;954;1100;861;96;122;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;3. Entre 1971-1990;1. Moins de 1 an;;8,5;9,5;11,8;15,5;17,4;11,5;570;620;800;851;1100;796;69;137;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;3. Entre 1971-1990;2. 1 an et plus;;5,9;8,5;9,9;11,8;14,5;9,7;412;560;700;837;940;707;73;437;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;4. Entre 1991-2005;;;8,2;10,0;11,7;16,3;17,9;12,0;540;620;652;750;979;727;61;155;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;4. Entre 1991-2005;;Appart 1P;;;;;;;;;;;;;;21;;Estimation directe,,,,,,
B2A00;2020;Agglomération d'Ajaccio;;Appartement;4. Entre 1991-2005;;Appart 2P;10,0;10,0;11,7;16,3;17,9;12,8;550;620;650;719;750;655;51;63;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;4. Entre 1991-2005;;Appart 3P;;;;;;;;;;;;;;40;;Estimation directe,,,,,,
B2A00;2020;Agglomération d'Ajaccio;;Appartement;4. Entre 1991-2005;;Appart 4P+;;;;;;;;;;;;;;31;;Estimation directe,,,,,,
B2A00;2020;Agglomération d'Ajaccio;;Appartement;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;48;;Estimation directe,,,,,,
B2A00;2020;Agglomération d'Ajaccio;;Appartement;4. Entre 1991-2005;2. 1 an et plus;;8,2;10,0;11,4;14,2;18,0;11,5;500;620;650;750;946;695;60;107;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;5. Après 2005;;;10,2;11,7;13,0;14,8;16,7;12,8;568;689;750;900;1050;814;64;473;10394;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;5. Après 2005;;Appart 1P;13,7;15,6;17,3;18,9;20,4;16,7;438;488;530;550;565;516;31;69;787;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;5. Après 2005;;Appart 2P;13,0;13,6;14,8;16,0;16,7;14,7;625;665;700;715;750;689;47;177;2525;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;5. Après 2005;;Appart 3P;10,1;11,6;12,8;13,4;14,2;12,3;700;772;893;935;1000;861;70;182;4360;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;5. Après 2005;;Appart 4P+;;;;;;;;;;;;;;45;;Estimation directe,,,,,,
B2A00;2020;Agglomération d'Ajaccio;;Appartement;5. Après 2005;1. Moins de 1 an;;11,0;12,0;13,6;15,3;16,7;13,1;564;680;700;795;959;760;58;192;;Estimation directe
B2A00;2020;Agglomération d'Ajaccio;;Appartement;5. Après 2005;2. 1 an et plus;;10,0;11,6;13,0;14,2;16,5;12,6;568;704;833;942;1100;849;68;281;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;;7,1;8,3;9,7;11,0;12,7;9,1;370;450;550;700;870;589;64;7219;34835;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Maison 1-3P;6,5;7,9;9,4;11,3;13,3;9,1;405;513;600;700;794;611;67;226;2872;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Ensemble 4P+;6,3;7,4;8,5;9,8;10,3;8,3;558;676;810;900;960;794;96;1330;9989;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Maison 4P+;7,3;7,9;9,1;10,1;10,6;8,8;680;801;870;930;1061;872;100;487;5497;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Appart 1P;9,0;10,8;12,7;15,1;17,1;12,4;285;317;350;380;414;351;28;927;3496;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Appart 2P;8,4;9,4;10,8;11,8;13,0;10,4;372;411;460;514;550;464;44;2668;9795;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Appart 3P;7,1;8,2;9,4;10,2;11,2;9,1;463;520;600;650;700;585;65;2068;8684;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Appart 4P+;5,6;6,7;7,8;8,8;9,9;7,7;500;570;700;788;900;697;91;843;4491;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Ensemble 1P;9,1;10,9;12,9;15,0;17,1;12,5;285;320;354;390;414;353;28;931;3625;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Ensemble 2P;8,4;9,5;10,8;11,8;13,0;10,5;375;414;465;520;554;467;45;2705;10496;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;;Ensemble 3P;7,0;8,0;9,3;10,2;11,2;9,0;469;520;600;663;717;597;67;2253;10725;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;1. Moins de 1 an;;7,5;8,7;10,0;11,3;13,3;9,5;370;450;544;670;850;581;61;1936;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;1. Moins de 1 an;Ensemble 4P+;7,0;7,7;8,9;9,8;10,5;8,7;560;700;850;900;982;821;94;287;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;1. Moins de 1 an;Ensemble 1P;9,7;11,8;13,8;15,4;17,1;12,9;300;320;355;390;414;356;28;294;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;1. Moins de 1 an;Ensemble 2P;8,4;9,4;10,7;11,7;13,3;10,4;380;430;480;524;554;478;46;771;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;1. Moins de 1 an;Ensemble 3P;7,2;8,2;9,3;10,5;11,6;9,1;490;550;610;670;750;617;68;584;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;2. 1 an et plus;;6,9;8,1;9,5;10,9;12,5;9,0;370;450;555;700;880;593;66;5283;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;2. 1 an et plus;Ensemble 4P+;6,0;7,3;8,4;9,8;10,3;8,2;550;654;800;900;958;786;96;1043;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;2. 1 an et plus;Ensemble 1P;8,8;10,6;12,6;15,0;17,1;12,3;280;315;350;388;414;352;29;637;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;2. 1 an et plus;Ensemble 2P;8,4;9,6;10,8;11,8;12,9;10,5;370;407;460;511;554;461;44;1934;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;;2. 1 an et plus;Ensemble 3P;6,9;7,9;9,3;10,0;11,0;8,9;460;514;600;655;706;589;66;1669;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;1. Avant 1946;;;7,0;8,1;9,5;10,9;12,6;9,0;353;413;500;627;765;538;60;2549;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;1. Avant 1946;;Ensemble 4P+;5,4;6,8;7,7;9,1;9,9;7,6;530;613;724;850;977;753;99;356;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;1. Avant 1946;;Ensemble 1P;9,0;10,0;12,0;13,8;15,8;11,5;266;300;348;370;425;340;29;391;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;1. Avant 1946;;Ensemble 2P;8,1;9,0;10,2;11,3;12,9;10,0;363;395;440;490;550;448;45;1025;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;1. Avant 1946;;Ensemble 3P;7,1;7,9;9,2;10,1;11,3;9,0;457;500;579;650;690;580;65;777;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;1. Avant 1946;1. Moins de 1 an;;7,3;8,4;9,8;11,2;13,3;9,4;360;420;500;626;799;533;57;736;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;1. Avant 1946;2. 1 an et plus;;6,8;8,0;9,4;10,7;12,3;8,8;350;410;500;631;730;540;62;1813;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;2. Entre 1946-1970;;;6,4;7,8;9,1;10,4;11,9;8,8;380;460;529;640;782;564;64;993;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;2. Entre 1946-1970;;Ensemble 4P+;6,0;6,9;8,1;8,9;10,0;8,0;500;550;640;835;930;694;87;296;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;2. Entre 1946-1970;;Ensemble 1P;10,1;11,7;16,0;17,7;18,8;14,0;335;340;376;395;414;372;27;71;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;2. Entre 1946-1970;;Ensemble 2P;7,7;9,1;10,5;11,6;12,8;10,0;360;405;450;500;545;454;45;214;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;2. Entre 1946-1970;;Ensemble 3P;6,7;8,1;9,1;10,0;10,9;8,8;450;500;536;620;655;553;62;412;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;2. Entre 1946-1970;1. Moins de 1 an;;7,5;8,5;9,3;10,9;12,7;9,4;385;480;535;645;770;570;61;230;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;2. Entre 1946-1970;2. 1 an et plus;;6,4;7,6;9,0;10,3;11,8;8,6;375;450;525;630;807;561;65;763;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;3. Entre 1971-1990;;;6,9;8,2;9,6;11,3;13,9;9,0;356;430;520;700;900;582;65;1020;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;3. Entre 1971-1990;;Ensemble 4P+;6,0;7,1;8,3;9,2;10,3;8,1;514;622;800;910;1089;793;98;242;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;3. Entre 1971-1990;;Ensemble 1P;11,2;12,6;13,9;16,7;17,1;13,7;303;320;354;370;410;351;26;227;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;3. Entre 1971-1990;;Ensemble 2P;8,8;9,4;10,7;11,5;12,8;10,4;380;414;460;500;529;459;44;329;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;3. Entre 1971-1990;;Ensemble 3P;6,7;7,6;8,7;9,9;10,7;8,5;485;557;630;695;750;627;74;222;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;3. Entre 1971-1990;1. Moins de 1 an;;6,7;8,1;10,0;11,8;14,3;9,0;338;415;510;640;879;568;63;249;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;3. Entre 1971-1990;2. 1 an et plus;;6,9;8,2;9,6;10,9;13,7;9,0;360;432;526;700;900;588;65;771;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;4. Entre 1991-2005;;;7,8;8,5;9,9;11,0;12,4;9,4;425;505;642;857;920;668;71;1050;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;4. Entre 1991-2005;;Ensemble 4P+;7,8;7,9;9,4;10,2;10,6;9,0;680;777;868;916;956;848;94;223;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;4. Entre 1991-2005;;Ensemble 1P;10,1;11,9;12,0;14,4;16,8;12,6;300;308;340;370;400;344;27;116;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;4. Entre 1991-2005;;Ensemble 2P;9,2;10,2;11,1;12,4;12,7;11,0;422;460;500;530;570;493;45;445;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;4. Entre 1991-2005;;Ensemble 3P;6,7;7,9;9,1;10,0;11,0;8,8;500;548;600;668;741;614;70;266;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;4. Entre 1991-2005;1. Moins de 1 an;;7,9;9,0;10,2;11,2;12,0;9,7;412;515;600;870;900;663;69;273;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;4. Entre 1991-2005;2. 1 an et plus;;7,8;8,3;9,9;11,0;12,4;9,3;427;505;650;833;920;670;72;777;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;5. Après 2005;;;7,9;8,9;10,2;11,6;13,0;9,6;405;519;631;781;900;647;67;1607;34835;Estimation directe
B3000;2020;Agglomération de Nîmes;;;5. Après 2005;;Ensemble 4P+;6,5;7,9;8,9;10,0;10,6;8,6;706;797;850;904;950;856;99;213;9989;Estimation directe
B3000;2020;Agglomération de Nîmes;;;5. Après 2005;;Ensemble 1P;8,1;10,1;13,2;14,3;15,0;11,9;320;350;391;405;410;377;32;126;3625;Estimation directe
B3000;2020;Agglomération de Nîmes;;;5. Après 2005;;Ensemble 2P;10,0;10,6;11,6;12,2;13,3;11,5;431;474;520;536;575;507;44;692;10496;Estimation directe
B3000;2020;Agglomération de Nîmes;;;5. Après 2005;;Ensemble 3P;8,1;8,9;9,9;10,8;11,8;9,7;544;617;655;700;750;651;67;576;10725;Estimation directe
B3000;2020;Agglomération de Nîmes;;;5. Après 2005;1. Moins de 1 an;;8,9;9,5;10,5;12,0;13,7;10,2;415;520;614;730;850;633;62;448;;Estimation directe
B3000;2020;Agglomération de Nîmes;;;5. Après 2005;2. 1 an et plus;;7,3;8,5;10,1;11,3;12,5;9,4;405;517;640;801;900;653;70;1159;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;;;7,1;7,9;9,3;10,2;11,3;8,8;525;650;810;900;958;783;88;713;8369;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;;Maison 1-3P;6,5;7,9;9,4;11,3;13,3;9,1;405;513;600;700;794;611;67;226;2872;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;;Maison 4P+;7,3;7,9;9,1;10,1;10,6;8,8;680;801;870;930;1061;872;100;487;5497;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;1. Moins de 1 an;;7,7;8,7;9,7;10,6;13,3;9,3;525;650;800;890;950;779;83;169;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;1. Moins de 1 an;Maison 1-3P;7,9;8,7;10,5;13,0;14,3;9,6;400;525;600;750;807;633;66;64;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;1. Moins de 1 an;Maison 4P+;7,7;8,5;9,5;10,0;10,5;9,2;700;850;867;900;1100;887;96;105;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;2. 1 an et plus;;6,7;7,8;9,0;10,1;10,9;8,7;506;650;812;904;958;784;90;544;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;2. 1 an et plus;Maison 1-3P;6,5;7,6;9,1;10,2;12,0;8,8;405;500;613;684;750;601;68;162;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;;2. 1 an et plus;Maison 4P+;7,0;7,9;9,0;10,1;10,6;8,6;654;800;870;930;1038;868;100;382;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;1. Avant 1946;;;6,5;7,5;8,7;10,0;11,4;8,5;486;565;672;850;925;705;83;184;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;1. Avant 1946;;Maison 1-3P;6,7;7,5;9,0;11,3;13,3;9,0;470;500;600;684;800;610;68;105;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;1. Avant 1946;;Maison 4P+;5,5;7,2;8,4;9,8;10,0;8,0;591;781;850;880;1150;838;105;79;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;48;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;1. Avant 1946;2. 1 an et plus;;6,0;7,1;7,8;9,8;10,6;8,0;470;513;650;830;957;689;86;136;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;2. Entre 1946-1970;;;6,4;7,7;8,9;10,9;11,6;8,8;450;500;804;900;1100;760;86;80;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;2. Entre 1946-1970;;Maison 1-3P;;;;;;;;;;;;;;21;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;2. Entre 1946-1970;;Maison 4P+;7,7;7,8;8,5;10,0;10,1;8,8;620;815;886;1049;1112;907;103;59;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;15;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;2. Entre 1946-1970;2. 1 an et plus;;6,4;7,7;8,5;10,1;11,6;8,5;450;500;804;904;1100;743;87;65;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;3. Entre 1971-1990;;;4,6;7,4;9,1;10,0;10,8;8,4;600;700;816;950;1100;834;100;126;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;3. Entre 1971-1990;;Maison 1-3P;;;;;;;;;;;;;;28;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;3. Entre 1971-1990;;Maison 4P+;6,9;7,4;9,1;10,0;10,4;8,5;720;800;904;1000;1150;905;107;98;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;31;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;3. Entre 1971-1990;2. 1 an et plus;;7,4;8,2;9,2;10,0;10,6;8,6;650;700;830;930;1087;832;97;95;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;4. Entre 1991-2005;;;7,8;7,9;9,4;10,2;10,8;9,1;600;680;857;911;950;814;90;175;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;4. Entre 1991-2005;;Maison 1-3P;;;;;;;;;;;;;;31;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;4. Entre 1991-2005;;Maison 4P+;7,8;8,4;9,6;10,2;10,8;9,1;680;797;870;920;956;855;94;144;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;34;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;4. Entre 1991-2005;2. 1 an et plus;;7,8;7,9;9,4;10,2;10,8;9,0;600;700;842;916;950;811;90;141;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;5. Après 2005;;;7,9;8,2;9,7;10,6;13,0;9,3;525;750;847;900;950;800;86;148;8369;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;5. Après 2005;;Maison 1-3P;;;;;;;;;;;;;;41;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;5. Après 2005;;Maison 4P+;7,3;8,2;9,0;10,1;10,6;8,9;780;847;890;915;950;886;99;107;5497;Estimation directe
B3000;2020;Agglomération de Nîmes;;Maison;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;41;;Estimation directe,,,,,,
B3000;2020;Agglomération de Nîmes;;Maison;5. Après 2005;2. 1 an et plus;;7,3;8,2;9,5;10,6;11,0;9,0;654;780;850;900;950;830;92;107;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;;;7,1;8,4;9,8;11,3;13,0;9,3;358;420;510;619;704;528;57;6506;26466;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;;Appart 1P;9,0;10,8;12,7;15,1;17,1;12,4;285;317;350;380;414;351;28;927;3496;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;;Appart 2P;8,4;9,4;10,8;11,8;13,0;10,4;372;411;460;514;550;464;44;2668;9795;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;;Appart 3P;7,1;8,2;9,4;10,2;11,2;9,1;463;520;600;650;700;585;65;2068;8684;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;;Appart 4P+;5,6;6,7;7,8;8,8;9,9;7,7;500;570;700;788;900;697;91;843;4491;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;1. Moins de 1 an;;7,4;8,8;10,0;11,5;13,3;9,6;360;426;510;610;700;528;55;1767;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;1. Moins de 1 an;Appart 1P;9,4;11,8;13,1;15,4;17,5;12,8;300;320;355;380;414;353;28;293;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;1. Moins de 1 an;Appart 2P;8,4;9,4;10,7;11,7;13,3;10,4;380;425;471;520;550;471;45;755;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;1. Moins de 1 an;Appart 3P;7,3;8,4;9,2;10,3;11,5;9,1;480;525;610;650;700;597;65;537;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;1. Moins de 1 an;Appart 4P+;6,3;7,1;8,1;8,8;10,2;8,1;530;560;730;870;920;735;91;182;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;2. 1 an et plus;;6,9;8,3;9,7;11,2;12,8;9,2;355;420;512;620;709;529;58;4739;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;2. 1 an et plus;Appart 1P;8,8;10,6;12,6;14,4;17,1;12,2;280;315;350;380;414;350;29;634;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;2. 1 an et plus;Appart 2P;8,4;9,5;10,8;11,9;12,9;10,5;370;406;459;510;550;460;44;1913;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;2. 1 an et plus;Appart 3P;7,1;8,2;9,4;10,2;11,0;9,0;460;514;591;650;699;580;64;1531;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;;2. 1 an et plus;Appart 4P+;5,6;6,6;7,8;8,8;9,8;7,5;480;570;693;765;900;687;91;661;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;1. Avant 1946;;;7,1;8,4;9,6;11,0;12,7;9,1;350;400;480;600;690;503;55;2365;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;1. Avant 1946;;Appart 1P;9,0;10,0;12,0;13,8;15,8;11,5;266;300;350;370;425;340;30;389;;Estimation directe
B3000;2020;Agglomération de Nîmes;;Appartement;1. Avant 1946;;Appart 2P;8,1;9,1;10,1;11,3;12,9;9,9;360;395;440;490;540;442;44;1004;;Estimation directe
