,Observatory,Data_year,agglomeration,Type_habitat,epoque_construction_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,methodologie_production
0,B1300,2020,Agglomération d'Aix-Marseille,,,,9.1,10.5,12.5,15.0,17.7,12.0,450.0,532.0,660.0,810.0,1080.0,722.0,60.0,33777.0,Estimation directe
1,B1300,2020,Agglomération d'Aix-Marseille,Maison,,Maison 1-3P,9.6,10.9,12.7,15.1,18.8,12.5,520.0,600.0,750.0,880.0,1003.0,759.0,61.0,656.0,Estimation directe
2,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 4P+,7.6,9.3,10.6,12.4,14.8,10.8,650.0,769.0,972.0,1236.0,1503.0,1046.0,97.0,4825.0,Estimation directe
3,B1300,2020,Agglomération d'Aix-Marseille,Maison,,Maison 4P+,7.7,9.4,11.2,14.0,16.0,11.3,800.0,1000.0,1212.0,1400.0,1700.0,1270.0,112.0,960.0,Estimation directe
4,B1300,2020,Agglomération d'Aix-Marseille,Appartement,,Appart 1P,12.2,13.8,16.7,20.0,23.3,16.4,341.0,395.0,450.0,503.0,565.0,452.0,28.0,5662.0,Estimation directe
5,B1300,2020,Agglomération d'Aix-Marseille,Appartement,,Appart 2P,10.4,12.0,14.1,15.9,18.0,13.8,450.0,500.0,575.0,650.0,720.0,582.0,42.0,11833.0,Estimation directe
6,B1300,2020,Agglomération d'Aix-Marseille,Appartement,,Appart 3P,8.8,10.0,11.4,13.0,14.5,11.4,571.0,640.0,719.0,808.0,916.0,733.0,65.0,10801.0,Estimation directe
7,B1300,2020,Agglomération d'Aix-Marseille,Appartement,,Appart 4P+,7.6,9.2,10.3,11.6,13.6,10.5,610.0,710.0,850.0,1036.0,1290.0,919.0,88.0,3865.0,Estimation directe
8,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 1P,12.2,13.9,16.7,20.4,23.7,16.5,344.0,400.0,450.0,510.0,563.0,454.0,27.0,5682.0,Estimation directe
9,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 2P,10.3,11.8,14.0,16.0,18.0,13.8,450.0,505.0,580.0,653.0,721.0,585.0,43.0,11997.0,Estimation directe
10,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 3P,8.8,10.1,11.5,13.2,14.6,11.4,580.0,640.0,730.0,824.0,950.0,747.0,65.0,11273.0,Estimation directe
11,B1300,2020,Agglomération d'Aix-Marseille,,,,9.9,11.3,13.5,15.6,18.3,12.9,460.0,550.0,680.0,840.0,1140.0,744.0,58.0,8921.0,Estimation directe
12,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 4P+,8.4,10.0,11.2,13.8,14.9,11.7,695.0,803.0,1000.0,1320.0,1600.0,1106.0,95.0,1059.0,Estimation directe
13,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 1P,12.9,14.2,16.7,20.0,23.3,16.7,370.0,410.0,460.0,530.0,585.0,470.0,28.0,1590.0,Estimation directe
14,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 2P,11.5,13.0,14.7,16.5,18.7,14.6,480.0,540.0,600.0,680.0,740.0,611.0,42.0,3414.0,Estimation directe
15,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 3P,9.5,10.6,12.1,13.8,15.1,12.2,600.0,675.0,750.0,860.0,980.0,780.0,64.0,2858.0,Estimation directe
16,B1300,2020,Agglomération d'Aix-Marseille,,,,8.9,10.3,12.1,14.7,17.6,11.7,439.0,520.0,650.0,800.0,1046.0,714.0,61.0,24856.0,Estimation directe
17,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 4P+,7.5,9.0,10.4,11.9,14.4,10.5,647.0,750.0,950.0,1212.0,1411.0,1024.0,97.0,3766.0,Estimation directe
18,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 1P,11.8,13.4,16.7,20.4,24.0,16.4,339.0,386.0,450.0,500.0,552.0,446.0,27.0,4092.0,Estimation directe
19,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 2P,10.0,11.5,13.5,15.6,17.8,13.4,447.0,498.0,563.0,647.0,717.0,574.0,43.0,8583.0,Estimation directe
20,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,,Ensemble 3P,8.6,10.0,11.3,12.9,14.5,11.2,559.0,635.0,720.0,810.0,950.0,735.0,66.0,8415.0,Estimation directe
21,B1300,2020,Agglomération d'Aix-Marseille,,Avant 1946,,8.9,10.3,12.4,15.0,17.9,11.7,410.0,498.0,600.0,730.0,928.0,647.0,55.0,10708.0,Estimation directe
22,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Avant 1946,Ensemble 4P+,6.7,8.4,10.0,11.3,14.2,9.8,595.0,770.0,985.0,1212.0,1400.0,1006.0,102.0,1149.0,Estimation directe
23,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Avant 1946,Ensemble 1P,11.8,13.1,15.8,20.4,24.0,15.9,343.0,387.0,450.0,509.0,550.0,446.0,28.0,2341.0,Estimation directe
24,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Avant 1946,Ensemble 2P,10.0,11.3,13.4,15.5,17.6,13.3,435.0,488.0,550.0,620.0,700.0,560.0,42.0,4380.0,Estimation directe
25,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Avant 1946,Ensemble 3P,8.3,9.8,11.0,12.7,14.0,10.9,565.0,614.0,691.0,780.0,887.0,706.0,65.0,2838.0,Estimation directe
26,B1300,2020,Agglomération d'Aix-Marseille,,Avant 1946,,10.0,11.6,13.8,16.1,18.6,13.0,450.0,520.0,610.0,750.0,965.0,680.0,52.0,2530.0,Estimation directe
27,B1300,2020,Agglomération d'Aix-Marseille,Maison,Avant 1946,Maison 1-3P,8.3,10.9,13.2,14.6,16.4,12.5,551.0,600.0,690.0,950.0,1003.0,781.0,62.0,79.0,Estimation directe
28,B1300,2020,Agglomération d'Aix-Marseille,Maison,Avant 1946,Maison 4P+,8.1,9.7,14.0,14.0,14.8,12.1,1087.0,1100.0,1230.0,1400.0,1400.0,1297.0,107.0,59.0,Estimation directe
29,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Avant 1946,Appart 1P,12.7,13.8,16.7,21.3,25.3,16.7,360.0,400.0,460.0,539.0,600.0,470.0,28.0,622.0,Estimation directe
30,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Avant 1946,Appart 2P,11.5,12.8,14.2,16.2,18.1,14.4,460.0,510.0,565.0,650.0,720.0,581.0,40.0,1015.0,Estimation directe
31,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Avant 1946,Appart 3P,9.1,10.0,11.6,13.3,15.2,11.6,600.0,650.0,710.0,795.0,910.0,736.0,63.0,596.0,Estimation directe
32,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Avant 1946,Appart 4P+,7.3,9.9,11.0,13.3,15.3,11.0,780.0,808.0,940.0,1280.0,1650.0,1100.0,100.0,159.0,Estimation directe
33,B1300,2020,Agglomération d'Aix-Marseille,,Avant 1946,,8.6,10.0,11.8,14.7,17.6,11.3,400.0,490.0,600.0,725.0,900.0,636.0,56.0,8178.0,Estimation directe
34,B1300,2020,Agglomération d'Aix-Marseille,Maison,Avant 1946,Maison 1-3P,9.7,10.3,12.0,13.9,20.4,11.6,510.0,550.0,600.0,799.0,880.0,671.0,58.0,172.0,Estimation directe
35,B1300,2020,Agglomération d'Aix-Marseille,Maison,Avant 1946,Maison 4P+,4.9,7.6,10.0,11.0,13.4,8.9,920.0,1000.0,1135.0,1224.0,1513.0,1177.0,132.0,155.0,Estimation directe
36,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Avant 1946,Appart 1P,11.3,12.9,15.2,19.6,22.3,15.2,336.0,379.0,430.0,480.0,520.0,429.0,28.0,1712.0,Estimation directe
37,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Avant 1946,Appart 2P,9.9,11.1,13.0,15.1,17.3,13.0,420.0,464.0,530.0,600.0,673.0,543.0,42.0,3301.0,Estimation directe
38,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Avant 1946,Appart 3P,8.0,9.6,10.9,12.2,13.4,10.6,524.0,615.0,669.0,750.0,830.0,681.0,64.0,2062.0,Estimation directe
39,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Avant 1946,Appart 4P+,6.2,8.4,9.5,10.7,12.8,9.6,572.0,684.0,847.0,1100.0,1250.0,900.0,94.0,776.0,Estimation directe
40,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1946-1970,,8.6,10.0,11.4,13.7,16.7,11.3,456.0,535.0,650.0,765.0,945.0,695.0,61.0,7732.0,Estimation directe
41,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1946-1970,Ensemble 4P+,7.3,9.3,10.2,11.7,13.8,10.5,647.0,700.0,790.0,950.0,1300.0,907.0,87.0,1499.0,Estimation directe
42,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1946-1970,Ensemble 1P,12.1,14.8,16.7,20.4,24.0,16.9,350.0,400.0,453.0,500.0,560.0,459.0,27.0,1032.0,Estimation directe
43,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1946-1970,Ensemble 2P,10.4,11.5,12.9,15.2,17.5,13.1,450.0,500.0,550.0,630.0,695.0,569.0,43.0,1968.0,Estimation directe
44,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1946-1970,Ensemble 3P,8.3,9.6,10.7,12.2,13.6,10.7,530.0,610.0,689.0,766.0,910.0,699.0,65.0,3233.0,Estimation directe
45,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1946-1970,,9.4,10.6,12.2,14.8,16.8,12.1,480.0,570.0,675.0,765.0,927.0,699.0,58.0,1781.0,Estimation directe
46,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1946-1970,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,44.0,Estimation directe
47,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1946-1970,Maison 4P+,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,45.0,Estimation directe
48,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1946-1970,Appart 1P,14.6,15.4,16.0,20.0,22.5,16.9,380.0,450.0,469.0,520.0,550.0,477.0,28.0,287.0,Estimation directe
49,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1946-1970,Appart 2P,10.9,12.1,13.3,16.0,17.9,13.8,480.0,540.0,600.0,653.0,750.0,616.0,45.0,474.0,Estimation directe
50,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1946-1970,Appart 3P,9.4,10.0,11.3,12.7,14.6,11.4,577.0,620.0,680.0,765.0,820.0,703.0,62.0,661.0,Estimation directe
51,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1946-1970,Appart 4P+,8.6,9.7,10.6,12.0,13.4,10.8,640.0,695.0,755.0,920.0,1000.0,840.0,78.0,270.0,Estimation directe
52,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1946-1970,,8.3,9.9,11.1,13.4,16.7,11.1,450.0,520.0,650.0,762.0,950.0,694.0,62.0,5951.0,Estimation directe
53,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1946-1970,Maison 1-3P,9.6,11.3,12.9,13.6,16.3,12.4,520.0,590.0,700.0,950.0,1000.0,738.0,60.0,124.0,Estimation directe
54,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1946-1970,Maison 4P+,6.5,6.9,10.3,14.5,16.7,10.7,647.0,769.0,1046.0,1503.0,3200.0,1286.0,120.0,124.0,Estimation directe
55,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1946-1970,Appart 1P,12.1,14.4,16.8,20.6,24.0,16.9,350.0,400.0,440.0,500.0,560.0,452.0,27.0,741.0,Estimation directe
56,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1946-1970,Appart 2P,10.3,11.2,12.7,14.5,17.5,12.9,436.0,490.0,536.0,600.0,680.0,551.0,43.0,1451.0,Estimation directe
57,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1946-1970,Appart 3P,7.5,9.4,10.6,11.7,13.0,10.2,500.0,590.0,658.0,740.0,833.0,669.0,65.0,2451.0,Estimation directe
58,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1946-1970,Appart 4P+,7.8,9.5,10.0,11.0,12.6,10.2,610.0,680.0,750.0,900.0,1100.0,814.0,80.0,1060.0,Estimation directe
59,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1971-1990,,8.5,10.0,11.6,14.3,17.4,11.6,476.0,601.0,730.0,955.0,1280.0,811.0,70.0,4087.0,Estimation directe
60,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1971-1990,Ensemble 4P+,7.8,8.9,10.2,12.0,14.2,10.7,650.0,792.0,990.0,1250.0,1429.0,1034.0,96.0,917.0,Estimation directe
61,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1971-1990,Ensemble 1P,11.6,13.5,16.2,19.1,22.0,16.1,338.0,400.0,450.0,520.0,580.0,461.0,29.0,868.0,Estimation directe
62,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1971-1990,Ensemble 2P,10.0,11.6,13.9,16.5,18.8,13.7,470.0,545.0,601.0,680.0,730.0,615.0,45.0,1111.0,Estimation directe
63,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1971-1990,Ensemble 3P,9.2,10.3,11.3,12.7,14.9,11.6,618.0,650.0,740.0,841.0,1020.0,776.0,67.0,1191.0,Estimation directe
64,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1971-1990,,8.8,10.2,12.0,14.9,18.4,12.0,470.0,600.0,720.0,940.0,1270.0,815.0,68.0,986.0,Estimation directe
65,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1971-1990,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,23.0,Estimation directe
66,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1971-1990,Maison 4P+,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,42.0,Estimation directe
67,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1971-1990,Appart 1P,13.0,13.7,17.6,18.6,20.0,15.8,390.0,410.0,464.0,520.0,535.0,465.0,29.0,228.0,Estimation directe
68,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1971-1990,Appart 2P,10.8,12.3,14.0,16.0,18.8,13.9,470.0,545.0,605.0,680.0,760.0,622.0,45.0,292.0,Estimation directe
69,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1971-1990,Appart 3P,8.3,10.7,11.6,13.8,14.9,11.8,535.0,650.0,700.0,850.0,1038.0,761.0,65.0,259.0,Estimation directe
70,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1971-1990,Appart 4P+,7.6,9.0,10.0,10.8,12.6,10.4,662.0,780.0,900.0,1080.0,1250.0,929.0,89.0,142.0,Estimation directe
71,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1971-1990,,8.5,9.8,11.4,13.9,17.1,11.4,484.0,613.0,730.0,990.0,1280.0,809.0,71.0,3101.0,Estimation directe
72,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1971-1990,Maison 1-3P,11.8,12.0,14.2,15.0,15.5,13.2,711.0,750.0,847.0,1200.0,1200.0,923.0,70.0,62.0,Estimation directe
73,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1971-1990,Maison 4P+,8.0,8.5,10.2,12.0,14.7,10.6,800.0,860.0,1100.0,1280.0,1350.0,1092.0,103.0,207.0,Estimation directe
74,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1971-1990,Appart 1P,11.6,13.0,16.1,19.3,22.2,16.2,325.0,385.0,450.0,520.0,580.0,459.0,28.0,637.0,Estimation directe
75,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1971-1990,Appart 2P,10.0,11.4,13.2,16.3,18.8,13.4,470.0,528.0,600.0,651.0,730.0,607.0,45.0,799.0,Estimation directe
76,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1971-1990,Appart 3P,9.1,10.0,11.0,12.4,14.4,11.2,620.0,650.0,704.0,802.0,934.0,752.0,67.0,870.0,Estimation directe
77,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1971-1990,Appart 4P+,7.7,8.8,9.8,12.0,13.4,10.5,600.0,652.0,816.0,1141.0,1520.0,947.0,90.0,526.0,Estimation directe
78,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1991-2005,,10.6,11.9,14.2,17.3,20.3,13.6,460.0,582.0,745.0,949.0,1330.0,834.0,61.0,4363.0,Estimation directe
79,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1991-2005,Ensemble 4P+,9.4,10.5,11.5,14.1,15.8,12.2,876.0,1000.0,1200.0,1450.0,2000.0,1319.0,108.0,620.0,Estimation directe
80,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1991-2005,Ensemble 1P,14.2,17.0,20.0,22.2,25.6,19.3,350.0,400.0,460.0,500.0,600.0,461.0,24.0,866.0,Estimation directe
81,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1991-2005,Ensemble 2P,12.4,13.9,15.6,17.7,19.4,15.5,529.0,582.0,650.0,704.0,770.0,646.0,42.0,1686.0,Estimation directe
82,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Entre 1991-2005,Ensemble 3P,10.6,11.5,12.7,14.1,15.0,12.8,677.0,757.0,820.0,901.0,1080.0,848.0,66.0,1191.0,Estimation directe
83,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1991-2005,,11.1,12.3,14.7,17.6,20.6,13.8,425.0,565.0,700.0,900.0,1300.0,813.0,59.0,1119.0,Estimation directe
84,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1991-2005,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,25.0,Estimation directe
85,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1991-2005,Maison 4P+,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,49.0,Estimation directe
86,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1991-2005,Appart 1P,14.2,14.2,19.5,21.7,23.6,18.4,350.0,390.0,425.0,500.0,550.0,445.0,24.0,221.0,Estimation directe
87,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1991-2005,Appart 2P,11.5,13.3,15.9,17.6,21.1,15.5,520.0,600.0,655.0,740.0,790.0,654.0,42.0,458.0,Estimation directe
88,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1991-2005,Appart 3P,10.6,11.5,12.5,15.0,16.3,12.9,649.0,750.0,850.0,925.0,1090.0,865.0,67.0,259.0,Estimation directe
89,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1991-2005,Appart 4P+,10.1,10.1,11.4,12.8,15.1,12.1,863.0,870.0,1200.0,1450.0,1700.0,1207.0,100.0,107.0,Estimation directe
90,B1300,2020,Agglomération d'Aix-Marseille,,Entre 1991-2005,,10.5,11.7,14.1,17.1,20.3,13.5,480.0,587.0,760.0,957.0,1330.0,842.0,63.0,3244.0,Estimation directe
91,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1991-2005,Maison 1-3P,11.8,12.3,12.3,14.3,16.7,13.1,669.0,800.0,800.0,918.0,1034.0,841.0,64.0,57.0,Estimation directe
92,B1300,2020,Agglomération d'Aix-Marseille,Maison,Entre 1991-2005,Maison 4P+,8.7,10.3,11.1,15.8,19.5,12.4,1000.0,1186.0,1330.0,1700.0,2530.0,1471.0,119.0,148.0,Estimation directe
93,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1991-2005,Appart 1P,15.6,17.6,20.0,22.2,25.6,19.7,340.0,400.0,480.0,518.0,620.0,468.0,24.0,641.0,Estimation directe
94,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1991-2005,Appart 2P,12.4,13.9,15.6,17.7,19.2,15.4,530.0,568.0,630.0,700.0,760.0,640.0,42.0,1200.0,Estimation directe
95,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1991-2005,Appart 3P,10.5,11.6,12.8,14.0,15.0,12.7,671.0,760.0,820.0,900.0,1077.0,839.0,66.0,882.0,Estimation directe
96,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Entre 1991-2005,Appart 4P+,9.7,10.5,11.5,12.1,14.5,11.8,790.0,893.0,937.0,1084.0,1357.0,1036.0,88.0,316.0,Estimation directe
97,B1300,2020,Agglomération d'Aix-Marseille,,Après 2005,,10.6,11.8,13.4,15.1,16.6,13.1,520.0,614.0,750.0,900.0,1100.0,793.0,60.0,6887.0,Estimation directe
98,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Après 2005,Ensemble 4P+,9.8,10.7,12.1,13.3,14.6,12.1,850.0,980.0,1100.0,1320.0,1565.0,1154.0,95.0,640.0,Estimation directe
99,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Après 2005,Ensemble 1P,12.2,13.4,15.0,17.1,20.7,15.4,280.0,400.0,470.0,531.0,600.0,462.0,30.0,575.0,Estimation directe
100,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Après 2005,Ensemble 2P,11.8,13.4,14.8,16.0,17.4,14.6,508.0,555.0,625.0,690.0,730.0,621.0,43.0,2852.0,Estimation directe
101,B1300,2020,Agglomération d'Aix-Marseille,Ensemble,Après 2005,Ensemble 3P,10.3,11.6,12.9,14.2,16.0,12.8,666.0,735.0,800.0,900.0,990.0,822.0,64.0,2820.0,Estimation directe
102,B1300,2020,Agglomération d'Aix-Marseille,,Après 2005,,11.2,12.6,14.1,15.6,17.3,13.8,530.0,615.0,750.0,900.0,1250.0,815.0,59.0,2505.0,Estimation directe
103,B1300,2020,Agglomération d'Aix-Marseille,Maison,Après 2005,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,30.0,Estimation directe
104,B1300,2020,Agglomération d'Aix-Marseille,Maison,Après 2005,Maison 4P+,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,37.0,Estimation directe
105,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Après 2005,Appart 1P,13.3,13.8,15.0,17.8,22.5,15.9,381.0,430.0,525.0,550.0,560.0,494.0,31.0,226.0,Estimation directe
106,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Après 2005,Appart 2P,12.7,14.3,15.3,16.4,17.4,15.2,535.0,560.0,630.0,681.0,727.0,628.0,41.0,1122.0,Estimation directe
107,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Après 2005,Appart 3P,11.1,11.9,13.1,14.1,15.8,13.2,700.0,750.0,830.0,900.0,980.0,839.0,64.0,941.0,Estimation directe
108,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Après 2005,Appart 4P+,10.0,10.7,12.1,12.9,14.2,11.9,890.0,930.0,1030.0,1163.0,1280.0,1066.0,90.0,149.0,Estimation directe
109,B1300,2020,Agglomération d'Aix-Marseille,,Après 2005,,10.2,11.6,13.1,14.7,16.3,12.7,500.0,611.0,750.0,914.0,1062.0,780.0,61.0,4382.0,Estimation directe
110,B1300,2020,Agglomération d'Aix-Marseille,Maison,Après 2005,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,40.0,Estimation directe
111,B1300,2020,Agglomération d'Aix-Marseille,Maison,Après 2005,Maison 4P+,9.8,9.8,12.3,13.3,13.3,11.8,1020.0,1020.0,1168.0,1290.0,1400.0,1215.0,103.0,94.0,Estimation directe
112,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Après 2005,Appart 1P,12.2,12.8,14.7,16.7,18.3,14.9,280.0,348.0,446.0,506.0,600.0,433.0,29.0,347.0,Estimation directe
113,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Après 2005,Appart 2P,11.7,13.0,14.4,15.7,17.4,14.3,495.0,550.0,619.0,697.0,740.0,617.0,43.0,1721.0,Estimation directe
114,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Après 2005,Appart 3P,10.3,11.3,12.5,14.1,14.9,12.5,660.0,721.0,793.0,880.0,977.0,802.0,64.0,1820.0,Estimation directe
115,B1300,2020,Agglomération d'Aix-Marseille,Appartement,Après 2005,Appart 4P+,8.8,10.6,10.9,12.4,13.0,11.0,748.0,850.0,977.0,981.0,1170.0,970.0,88.0,360.0,Estimation directe
116,B1300,2020,Agglomération d'Aix-Marseille,Maison,,,8.0,10.0,12.0,14.5,16.5,11.7,580.0,742.0,980.0,1250.0,1503.0,1038.0,89.0,1616.0,Estimation directe
117,B1300,2020,Agglomération d'Aix-Marseille,Maison,,Maison 1-3P,9.6,10.9,12.7,15.1,18.8,12.5,520.0,600.0,750.0,880.0,1003.0,759.0,61.0,656.0,Estimation directe
118,B1300,2020,Agglomération d'Aix-Marseille,Maison,,Maison 4P+,7.7,9.4,11.2,14.0,16.0,11.3,800.0,1000.0,1212.0,1400.0,1700.0,1270.0,112.0,960.0,Estimation directe
119,B1300,2020,Agglomération d'Aix-Marseille,Maison,,,9.0,11.1,13.8,14.8,17.4,13.0,655.0,700.0,1100.0,1400.0,1600.0,1116.0,86.0,433.0,Estimation directe
120,B1300,2020,Agglomération d'Aix-Marseille,Maison,,Maison 1-3P,9.8,11.0,13.6,16.3,19.4,13.3,551.0,655.0,700.0,900.0,1150.0,799.0,60.0,201.0,Estimation directe
121,B1300,2020,Agglomération d'Aix-Marseille,Maison,,Maison 4P+,9.0,11.1,13.8,14.5,16.5,12.8,900.0,1180.0,1334.0,1565.0,1700.0,1366.0,107.0,232.0,Estimation directe
122,B1300,2020,Agglomération d'Aix-Marseille,Maison,,,7.7,9.8,11.8,13.6,16.3,11.3,580.0,750.0,978.0,1221.0,1400.0,1014.0,90.0,1183.0,Estimation directe
123,B1300,2020,Agglomération d'Aix-Marseille,Maison,,Maison 1-3P,9.6,10.7,12.5,15.0,17.3,12.3,510.0,580.0,750.0,864.0,1000.0,748.0,61.0,455.0,Estimation directe
124,B1300,2020,Agglomération d'Aix-Marseille,Maison,,Maison 4P+,7.6,9.0,11.0,13.3,16.0,10.9,800.0,1000.0,1168.0,1330.0,1700.0,1240.0,114.0,728.0,Estimation directe
125,B1300,2020,Agglomération d'Aix-Marseille,Maison,Avant 1946,,7.6,10.0,11.5,14.1,18.8,10.9,528.0,600.0,775.0,1003.0,1230.0,847.0,78.0,465.0,Estimation directe
126,B1300,2020,Agglomération d'Aix-Marseille,Maison,Avant 1946,Maison 1-3P,9.0,10.5,12.2,14.5,20.0,11.8,510.0,577.0,655.0,817.0,950.0,704.0,59.0,251.0,Estimation directe
127,B1300,2020,Agglomération d'Aix-Marseille,Maison,Avant 1946,Maison 4P+,5.7,8.1,10.5,13.3,14.8,9.7,940.0,1046.0,1212.0,1250.0,1400.0,1210.0,125.0,214.0,Estimation directe
