,Observatory,Data_year,agglomeration,Type_habitat,epoque_construction_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,methodologie_production
2140,B3000,2020,Agglomération de Nîmes,Maison,,Maison 1-3P,6.5,7.5,8.2,9.8,10.3,8.4,470.0,520.0,600.0,670.0,700.0,601.0,71.0,80.0,Estimation directe
2141,B3000,2020,Agglomération de Nîmes,Maison,,Maison 4P+,7.2,7.8,8.5,10.1,10.5,8.5,664.0,800.0,863.0,925.0,975.0,854.0,101.0,204.0,Estimation directe
2142,B3000,2020,Agglomération de Nîmes,Maison,Avant 1946,,6.0,7.1,7.8,9.8,11.3,8.1,470.0,500.0,626.0,830.0,900.0,668.0,83.0,83.0,Estimation directe
2143,B3000,2020,Agglomération de Nîmes,Maison,Avant 1946,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,47.0,Estimation directe
2144,B3000,2020,Agglomération de Nîmes,Maison,Avant 1946,Maison 4P+,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,36.0,Estimation directe
2145,B3000,2020,Agglomération de Nîmes,Maison,Avant 1946,,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,21.0,Estimation directe
2146,B3000,2020,Agglomération de Nîmes,Maison,Avant 1946,,6.0,6.7,7.5,9.6,10.0,7.6,420.0,490.0,565.0,720.0,950.0,635.0,83.0,62.0,Estimation directe
2147,B3000,2020,Agglomération de Nîmes,Maison,Entre 1946-1970,,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,29.0,Estimation directe
2148,B3000,2020,Agglomération de Nîmes,Maison,Entre 1946-1970,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,8.0,Estimation directe
2149,B3000,2020,Agglomération de Nîmes,Maison,Entre 1946-1970,Maison 4P+,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,21.0,Estimation directe
2150,B3000,2020,Agglomération de Nîmes,Maison,Entre 1946-1970,,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,7.0,Estimation directe
2151,B3000,2020,Agglomération de Nîmes,Maison,Entre 1946-1970,,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,22.0,Estimation directe
2152,B3000,2020,Agglomération de Nîmes,Maison,Entre 1971-1990,,4.6,7.4,8.3,9.9,10.9,7.9,600.0,669.0,740.0,930.0,958.0,782.0,99.0,78.0,Estimation directe
2153,B3000,2020,Agglomération de Nîmes,Maison,Entre 1971-1990,Maison 1-3P,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,19.0,Estimation directe
2154,B3000,2020,Agglomération de Nîmes,Maison,Entre 1971-1990,Maison 4P+,4.2,7.4,8.4,10.3,10.7,8.0,550.0,740.0,839.0,956.0,1028.0,846.0,106.0,59.0,Estimation directe
2155,B3000,2020,Agglomération de Nîmes,Maison,Entre 1971-1990,,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,22.0,Estimation directe
